"A41_T" "C115_T" "C24_T" "C99_T" "D36_T" "D65_T" "F20_T" "F44_T" "F69_T" "G30_T" "G80_T" "H11_T" "H17_T" "H35_T" "H46_T" "H4_T" "H63_T" "H78_T" "H85_T" "J106_T" "J111_T" "J32_T" "J38_T" "L103_T" "L112_T" "L113_T" "L28_T" "L3_T" "L50_T" "L52_T" "L60_T" "L61_T" "L64_T" "L68_T" "L6_T" "L75_T" "L90_T" "L95_T" "L97_T" "L9_T" "M72_T" "N39_T" "O31_T" "P1_T" "P21_T" "P88_T" "Q93_T" "R114_T" "R25_T" "R29_T" "R51_T" "R82_T" "S15_T" "S2_T" "S86_T" "S92_T" "T45_T" "W101_T" "W105_T" "W108_T" "W116_T" "W14_T" "W18_T" "W33_T" "W37_T" "W59_T" "W5_T" "W62_T" "W66_T" "W73_T" "X117_T" "X13_T" "X22_T" "X34_T" "X49_T" "X94_T" "Y10_T" "Y12_T" "Y19_T" "Y27_T" "Y48_T" "Y57_T" "Y7_T" "Y89_T" "Y8_T" "Z16_T" "Z23_T" "Z26_T" "Z43_T" "Z58_T" "Z76_T" "Z81_T" "Z84_T" "Z87_T" "Z96_T"
"6p" 0 -0.105 0 0 0 0 -0.479 0 0 -0.691 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.425 0 -0.123 0 0 0 0 0 -0.322 0 0 -0.155 0 0 0 0 0 -0.464 0 0.099 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.264 0 -0.579 0 0 -0.306 0 0 -0.32 0 0 0 0 0 0 -0.161 0 0 0 0 0 -0.461 0 0 0 0 0
"6q" 0 -0.105 -0.566 0 0 0 -0.479 0 0 -0.691 0 0 -0.366 0 0 0 0 0 0 0 0 -0.565 0 0 0 -0.514 0 0 -0.595 0 0 0 0 -0.425 -0.393 -0.123 0 0 0 0 0 -0.322 -0.557 0 -0.155 0 0 0 0 0 -0.464 0 -0.102 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.264 0 -0.579 0 0 -0.306 0 0 -0.32 0 0 0 0 0 0 -0.161 0 0 -0.345 0 0 -0.461 0 0 0 0 -0.275
"7p" 0.424 0.103 0 0 0.618 0 -0.265 0 0 0.108 0.532 0 0 0 0.293 0.581 0 0 0 0 0 0 0.517 0 0 0 0 0 0 0 0.123 0 0.6 0.549 0 0 0.452 0 0 0.71 0 0 0 0 0.168 0 0 0 0 0 0.301 0.318 0 0 0 0.737 -0.339 0.285 0 0.457 0 0 0 0 0.518 0 0 0 0 0.469 0.255 0 0 0.756 0 0 0 0 0 0 0 0 0 0 0.578 0 0.322 0 0.494 1.504 0 0 0 0 1.585
"7q" 0.424 0.103 0 0 0.618 0 -0.265 0 0 0.108 0.532 0 0 0 0.293 0.581 0 0 0 0 0 0 0.517 0 0 0 0 0 0 0 0.123 0 0.6 0.549 0 0 0.452 0 0 0.71 -0.659 0 0 0 0.168 0 0 0 0 0 0.301 0.318 0 0 0.124 0.737 -0.339 0.285 0 0.457 0 0 0 0 0.518 0 0 0 0 0.469 0.255 0 0 0.756 0 0 0 0 0 0 0 0 0 0 0.578 0 0.322 0 0.494 1.504 0 0 0 0 0.987
"8p" 0 0 -0.454 0 0 -0.458 0 0 0 -0.28 0 -0.692 0 0.1 -0.513 0 0 -0.392 0 0 0 0 0 0 0 0 0 0 -0.693 0 0 0 0 -0.527 -0.452 0 0 0 0 0 0 0.337 0 -0.573 -0.122 0 -0.45 0 -0.311 0.07 -0.171 -0.108 0 0 -0.143 0 0 0 0.372 -0.183 0 0 0 0 0 0 0 0 0 0 0.248 0 0 -0.601 0 0 0 0.031 0 0 0 0 0 0 0 0 -0.346 -0.3 0 0.097 -0.423 0 0 0 -0.29
"8q" 0 0 0 0 0 0 0 0 0 -0.28 0 0 0 0.434 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.452 0 0 0 0 0.637 0 0.337 0 0 -0.122 0 -0.45 0 -0.311 0.321 -0.171 0 0 0 0 0 0 0 0.685 0 0 0 0 0 0 0 0 0 0 0 1.019 0 0 0 0 0 0 0.267 0 0 0 0 0 0 0 0 0 -0.3 0 0.302 -0.423 0 0 0 -0.29
"9p" 0 0 0 0 0 0 -0.225 0 0 -0.286 0 0 0 -0.404 -0.322 0 0 0 0 0 0 0 0 0 0 -0.51 0 0 0 0 0 0 0 0 0 -0.148 0 0 -0.621 0 0 -0.291 0 0 -0.517 0 0 0 0 0 0 -0.355 0 0 -0.543 0 -0.326 0 -0.319 -0.155 0 0 -0.401 0 0 0 -0.351 -0.415 -0.482 0 -0.78 0 0 -0.294 0 0 -0.308 -0.625 0 0 0 0 0 -0.23 0 0 -0.278 0 0 -0.463 0 0 0 -0.38 -0.36
"9q" 0 0 -0.225 0 0 0 -0.225 0 0 -0.286 0 0 0 -0.404 -0.322 0 0 0 0 0 0 0 0 0 0 -0.51 0 0 0 0 0 0 0 0 0 -0.148 0 0 -0.621 0 0 -0.291 0 0 -0.517 0 0 0 0 0 0 -0.355 0 0 -0.543 0 -0.326 0 -0.319 -0.155 0 0 -0.401 0 0 0 -0.351 -0.415 -0.482 0 -0.78 0 0 -0.294 0 0 -0.308 -0.625 0 0 0 0 0 -0.23 0 0 -0.278 0 0 -0.463 0 0 0 -0.38 -0.36
"10p" 0 -0.232 0 0 0 0 0 0 0 -0.285 0 0 0 0 0.24 0 0 0 0 0 0 -0.243 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.144 0 0 0 0 0 0 0 0.252 0.191 0 0 0 0 0 0 0 0 0 0 0 -0.315 0 0 0 0 0 0 0 0 0 0 0 0 0 0.119 0 0 0 0 0 -0.245 0 0 0 0 0 0 -0.168 0 0 0.302 0 0 -0.486 -0.408 0 0 0 0.491
"10q" 0 -0.232 0 0 0 0 -0.469 0 0 -0.285 0 -0.78 0 0 0.24 0 0 0 0 0 0 -0.243 0 0 0 0 -0.316 0 -0.575 0 0 0 0 0 0 -0.144 0 0 0 0 0 0 -0.272 0 0.191 0 0 0 0 0 0 0 0 0 0 0 -0.315 0 0 0 0 0 0 0 0 0 0 0 0 0 0.119 0 0 0 0 0 -0.245 0 0 0 0 0 0 -0.168 0 0 0.302 0 -0.386 -0.486 -0.408 0 0 0 -0.059
